name,positive_ratio,total_reviews,price,owners_mid,average_playtime,median_playtime,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_Strategy,genre_Simulation,genre_RPG,genre_Early Access,genre_Free to Play,genre_Sports,cat_Single-player,cat_Steam Achievements,cat_Steam Trading Cards,cat_Steam Cloud,cat_Full controller support,cat_Partial Controller Support,cat_Multi-player,cat_Steam Leaderboards,kmeans_cluster,dbscan_cluster
Richard & Alice,0.7272727272727273,363,4.79,75000.0,332,332,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,-1
The Journey Down: Chapter One,0.8748787584869059,1031,5.99,350000.0,303,327,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1
In The Long Run The Game,0.35294117647058826,17,7.19,10000.0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,4,-1
Magic Wand,0.9444444444444444,36,2.79,10000.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-1
Critical Annihilation,0.9175257731958762,194,4.79,10000.0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,2,-1
Hybrid Animals,0.593939393939394,330,4.99,35000.0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,4,-1
HyperParasite,0.967741935483871,31,6.19,10000.0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-1
Crown and Council,0.6267409470752089,718,0.0,150000.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
Ripped Pants at Work,0.8333333333333334,24,2.09,10000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-1
Endless Jade Sea -Midori no Umi-,0.8518518518518519,108,1.69,10000.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-1
Reignman（掌控者）,0.7857142857142857,28,2.89,10000.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
Bad Pad,0.92,25,10.29,10000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-1
Zup! Zero,0.9256559766763849,1372,0.79,75000.0,187,204,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-1
Samozbor: Rebellion,0.8181818181818182,11,0.79,10000.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
Burst Fighter,1.0,13,6.99,10000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,-1
The Shadowland,0.6129032258064516,31,0.79,10000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1
Weable,0.847457627118644,59,0.79,35000.0,205,205,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1
Cosmonator,0.9655172413793104,29,5.19,10000.0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,2,-1
Turret Architect,0.5102040816326531,49,0.79,10000.0,254,258,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4,-1
