h,Exact_fx,Exact_fy,FD_fx,FD_fy,Error
1e-08,4.0,3.5,3.999999975690116,3.4999999787288516,3.2302201296782234e-08
3.162277660168379e-08,4.0,3.5,4.000000002253574,3.5000000054827107,5.927791637276679e-09
1e-07,4.0,3.5,4.000000002335469,3.500000000933312,2.5150517983074334e-09
3.162277660168379e-07,4.0,3.5,3.999999999444907,3.4999999998653775,5.711841304455838e-10
1e-06,4.0,3.5,3.9999999996709334,3.5000000000451337,3.3214732286215823e-10
3.162277660168379e-06,4.0,3.5,4.000000000006641,3.500000000146244,1.4639460950301154e-10
1e-05,4.0,3.5,4.000000000026205,3.5000000000007243,2.6214824256851612e-11
3.1622776601683795e-05,4.0,3.5,4.00000000000664,3.50000000000581,8.82305007898812e-12
0.0001,4.0,3.5,3.9999999999995595,3.5000000000007248,8.481392405529263e-13
0.00031622776601683794,4.0,3.5,4.000000000001023,3.500000000000193,1.0412581399249839e-12
0.001,4.0,3.5,3.9999999999995595,3.4999999999998366,4.698724074320762e-13
0.0031622776601683794,4.0,3.5,3.9999999999998996,3.5000000000000524,1.1322097734007352e-13
0.01,4.0,3.5,4.0000000000000036,3.500000000000014,1.464821375527116e-14
0.03162277660168379,4.0,3.5,4.000000000000012,3.499999999999997,1.2817187035862264e-14
0.1,4.0,3.5,4.0000000000000036,3.500000000000001,3.66205343881779e-15
